LocationID,Easting,Northing
ARPO_InvPla_71,652891.777,3765743.807
ARPO_InvPla_72,652030.350,3765603.778
ARPO_InvPla_73,652102.624,3765658.115
ARPO_InvPla_74,652192.594,3765658.115
ARPO_InvPla_75,652282.563,3765658.115
ARPO_InvPla_76,652372.534,3765658.115
ARPO_InvPla_77,652462.504,3765658.115
ARPO_InvPla_78,652552.473,3765658.115
ARPO_InvPla_79,652642.444,3765658.115
ARPO_InvPla_8,653090.062,3766363.689
ARPO_InvPla_80,652732.414,3765658.115
ARPO_InvPla_81,652821.041,3765659.213
ARPO_InvPla_82,652101.023,3765542.904
ARPO_InvPla_83,652190.470,3765558.493
ARPO_InvPla_84,652277.895,3765574.349
ARPO_InvPla_85,652373.322,3765568.273
ARPO_InvPla_86,652462.504,3765568.145
ARPO_InvPla_87,652552.473,3765568.145
ARPO_InvPla_88,652642.444,3765568.145
ARPO_InvPla_89,652732.414,3765568.145
ARPO_InvPla_9,653182.012,3766349.892
ARPO_InvPla_90,652806.822,3765531.479
ARPO_InvPla_91,652289.372,3765477.797
ARPO_InvPla_92,652372.534,3765478.175
ARPO_InvPla_93,652462.504,3765478.175
ARPO_InvPla_94,652550.883,3765469.485
ARPO_InvPla_95,652638.934,3765476.036
ARPO_InvPla_96,652732.514,3765478.275
ARPO_InvPla_97,652180.903,3765406.770
ARPO_InvPla_98,652282.563,3765388.205
ARPO_InvPla_99,652372.534,3765388.205
CUVA_InvPla_1,446756.328,4582436.489
CUVA_InvPla_10,447591.135,4581527.747
CUVA_InvPla_100,449802.914,4576477.981
CUVA_InvPla_101,450044.140,4576657.548
CUVA_InvPla_102,450357.888,4576973.434
CUVA_InvPla_103,450611.484,4577224.929
CUVA_InvPla_104,450894.442,4577502.881
CUVA_InvPla_105,451180.806,4577959.081
CUVA_InvPla_106,451460.252,4578077.529
CUVA_InvPla_107,452627.903,4579197.657
CUVA_InvPla_108,453445.332,4580069.101
CUVA_InvPla_109,453725.196,4580340.924
CUVA_InvPla_11,447751.488,4581764.077
CUVA_InvPla_110,454006.149,4580624.054
CUVA_InvPla_111,454201.938,4580866.305
CUVA_InvPla_112,455079.882,4581699.537
CUVA_InvPla_113,447874.536,4573836.868
CUVA_InvPla_114,448063.896,4574156.632
CUVA_InvPla_115,448341.251,4574419.901
CUVA_InvPla_116,448639.805,4574665.440
CUVA_InvPla_117,448907.426,4574889.292
CUVA_InvPla_118,450330.962,4576458.246
CUVA_InvPla_119,450612.038,4576664.254
CUVA_InvPla_12,447934.348,4581968.646
CUVA_InvPla_120,450863.890,4576936.370
CUVA_InvPla_121,451177.341,4577227.037
CUVA_InvPla_122,451746.563,4577948.934
CUVA_InvPla_123,452026.306,4578088.436
CUVA_InvPla_124,452310.316,4578356.442
CUVA_InvPla_125,452610.152,4578635.701
CUVA_InvPla_126,453723.179,4579917.196
CUVA_InvPla_127,453966.148,4580082.211
CUVA_InvPla_128,454234.650,4580374.497
CUVA_InvPla_129,455303.522,4581240.783
CUVA_InvPla_13,447225.611,4580633.365
CUVA_InvPla_130,455275.965,4581425.072
CUVA_InvPla_131,447585.371,4573027.653
CUVA_InvPla_132,447838.957,4573205.937
CUVA_InvPla_133,448050.832,4573568.408
CUVA_InvPla_134,448326.430,4573758.885
CUVA_InvPla_135,448641.723,4574137.558
CUVA_InvPla_136,448914.980,4574401.514
CUVA_InvPla_137,449156.400,4574628.802
CUVA_InvPla_138,450661.219,4576083.040
CUVA_InvPla_139,450894.330,4576383.777
CUVA_InvPla_14,447479.754,4580907.828
CUVA_InvPla_140,451158.464,4576671.101
CUVA_InvPla_141,451438.603,4576947.075
CUVA_InvPla_142,452311.857,4577940.449
CUVA_InvPla_143,452559.932,4578087.229
CUVA_InvPla_144,447618.837,4572410.281
CUVA_InvPla_145,448360.226,4573308.905
CUVA_InvPla_146,448658.143,4573554.846
CUVA_InvPla_147,448914.980,4573835.829
CUVA_InvPla_148,449197.823,4574118.671
CUVA_InvPla_149,449454.159,4574369.781
CUVA_InvPla_15,447755.219,4581256.190
CUVA_InvPla_150,450380.497,4575259.801
CUVA_InvPla_151,450612.036,4575532.885
CUVA_InvPla_152,450872.169,4575790.575
CUVA_InvPla_153,451248.362,4576207.899
CUVA_InvPla_154,451426.826,4576333.873
CUVA_InvPla_155,447802.072,4572320.826
CUVA_InvPla_156,448064.437,4572393.482
CUVA_InvPla_157,448920.339,4573272.069
CUVA_InvPla_158,449197.823,4573552.986
CUVA_InvPla_159,449480.665,4573835.829
CUVA_InvPla_16,448047.972,4581443.733
CUVA_InvPla_160,449762.039,4574113.528
CUVA_InvPla_161,450066.647,4574440.477
CUVA_InvPla_162,450327.462,4574522.364
CUVA_InvPla_163,450613.886,4574975.551
CUVA_InvPla_164,450883.889,4575247.957
CUVA_InvPla_165,451159.098,4575588.409
CUVA_InvPla_166,451361.088,4575742.577
CUVA_InvPla_167,445946.973,4569622.585
CUVA_InvPla_168,448411.369,4572248.006
CUVA_InvPla_169,448632.457,4572412.779
CUVA_InvPla_17,448214.278,4581657.323
CUVA_InvPla_170,448935.342,4572703.991
CUVA_InvPla_171,449197.823,4572987.300
CUVA_InvPla_172,449469.872,4573294.491
CUVA_InvPla_173,449763.508,4573552.986
CUVA_InvPla_174,450046.351,4573835.829
CUVA_InvPla_175,450328.781,4574096.134
CUVA_InvPla_176,450606.572,4574384.394
CUVA_InvPla_177,450905.939,4574692.250
CUVA_InvPla_178,451170.205,4574959.464
CUVA_InvPla_179,446133.308,4569396.847
CUVA_InvPla_18,447513.399,4580347.111
CUVA_InvPla_180,446317.483,4569526.313
CUVA_InvPla_181,448794.396,4571851.903
CUVA_InvPla_182,448890.651,4572130.382
CUVA_InvPla_183,449202.455,4572446.662
CUVA_InvPla_184,449480.665,4572704.458
CUVA_InvPla_185,449763.508,4572987.300
CUVA_InvPla_186,450037.718,4573269.470
CUVA_InvPla_187,450314.164,4573580.381
CUVA_InvPla_188,450591.447,4573858.144
CUVA_InvPla_189,450899.659,4574105.433
CUVA_InvPla_19,447695.688,4580541.163
CUVA_InvPla_190,451179.598,4574457.847
CUVA_InvPla_191,451386.661,4574704.962
CUVA_InvPla_192,451565.452,4574929.117
CUVA_InvPla_193,446384.037,4569055.938
CUVA_InvPla_194,446490.761,4569275.849
CUVA_InvPla_195,448942.775,4571648.030
CUVA_InvPla_196,449153.211,4571868.836
CUVA_InvPla_197,449479.435,4572152.315
CUVA_InvPla_198,449761.697,4572422.812
CUVA_InvPla_199,450046.351,4572704.458
CUVA_InvPla_2,446926.503,4582532.970
CUVA_InvPla_20,448191.794,4581011.591
CUVA_InvPla_200,450329.193,4572987.300
CUVA_InvPla_201,450619.874,4573260.804
CUVA_InvPla_202,450907.146,4573542.209
CUVA_InvPla_203,451164.949,4573830.891
CUVA_InvPla_204,446588.030,4568750.479
CUVA_InvPla_205,449459.698,4571573.852
CUVA_InvPla_206,449846.986,4571887.664
CUVA_InvPla_207,450085.910,4572120.386
CUVA_InvPla_208,450329.193,4572421.615
CUVA_InvPla_209,450612.036,4572704.458
CUVA_InvPla_21,448347.561,4581166.482
CUVA_InvPla_210,450883.607,4572975.698
CUVA_InvPla_211,451167.280,4573275.916
CUVA_InvPla_212,451438.430,4573552.211
CUVA_InvPla_213,446615.398,4568153.698
CUVA_InvPla_214,450047.497,4571618.687
CUVA_InvPla_215,450329.193,4571855.930
CUVA_InvPla_216,450612.036,4572138.772
CUVA_InvPla_217,450894.879,4572421.615
CUVA_InvPla_218,451082.592,4572693.024
CUVA_InvPla_219,451502.441,4572999.764
CUVA_InvPla_22,448524.255,4581343.256
CUVA_InvPla_220,451691.065,4573237.695
CUVA_InvPla_221,446729.857,4567686.168
CUVA_InvPla_222,446914.723,4567922.802
CUVA_InvPla_223,447154.709,4568033.792
CUVA_InvPla_224,450423.903,4571334.786
CUVA_InvPla_225,450612.036,4571573.087
CUVA_InvPla_226,450894.879,4571855.930
CUVA_InvPla_227,451160.061,4572131.095
CUVA_InvPla_228,451546.717,4572424.552
CUVA_InvPla_229,451737.618,4572709.290
CUVA_InvPla_23,448424.882,4580623.291
CUVA_InvPla_230,452022.035,4572972.165
CUVA_InvPla_231,446949.109,4567323.076
CUVA_InvPla_232,447267.529,4567610.231
CUVA_InvPla_233,447500.758,4567881.756
CUVA_InvPla_234,447767.434,4568007.787
CUVA_InvPla_235,450629.071,4571009.441
CUVA_InvPla_236,450894.879,4571290.244
CUVA_InvPla_237,451177.722,4571573.087
CUVA_InvPla_238,451451.912,4571846.491
CUVA_InvPla_239,451756.631,4572139.962
CUVA_InvPla_24,448632.137,4580906.896
CUVA_InvPla_240,452026.250,4572421.615
CUVA_InvPla_241,452307.814,4572699.517
CUVA_InvPla_242,447275.372,4567082.575
CUVA_InvPla_243,447500.766,4567330.446
CUVA_InvPla_244,447783.609,4567613.289
CUVA_InvPla_245,448065.975,4567866.778
CUVA_InvPla_246,450133.705,4569916.337
CUVA_InvPla_247,450316.619,4570136.950
CUVA_InvPla_248,450606.833,4570450.776
CUVA_InvPla_249,450894.879,4570724.559
CUVA_InvPla_25,448833.779,4581124.592
CUVA_InvPla_250,451177.722,4571007.401
CUVA_InvPla_251,451460.564,4571290.244
CUVA_InvPla_252,451743.407,4571573.087
CUVA_InvPla_253,452026.250,4571855.930
CUVA_InvPla_254,452309.092,4572138.772
CUVA_InvPla_255,452591.935,4572421.615
CUVA_InvPla_256,452815.690,4572644.167
CUVA_InvPla_257,447354.189,4566484.140
CUVA_InvPla_258,447514.573,4566783.745
CUVA_InvPla_259,447783.016,4567047.170
CUVA_InvPla_26,448070.932,4579798.101
